Assignment,Attendence,Book,Course,Feedback,Lecture,Manual,Page,Project,Questionnaire,Quiz,Source,Study_material,Survey,Test,URL
340848.0,1296.0,5832.0,153576.0,0.0,46656.0,34992.0,7776.0,0.0,648.0,196344.0,648.0,42768.0,4536.0,228096.0,2592.0
335588.0,1276.0,5742.0,151206.0,0.0,45936.0,34452.0,7656.0,0.0,638.0,193314.0,638.0,42108.0,4466.0,224576.0,2552.0
189886.0,722.0,3249.0,85557.0,0.0,25992.0,19494.0,4332.0,0.0,361.0,109383.0,361.0,23826.0,2527.0,127072.0,1444.0
765.0,5.0,0.0,235.0,0.0,15.0,5.0,0.0,0.0,0.0,460.0,0.0,55.0,40.0,1070.0,5.0
21420.0,140.0,0.0,6580.0,0.0,420.0,140.0,0.0,0.0,0.0,12880.0,0.0,1540.0,1120.0,29960.0,140.0
55539.0,363.0,0.0,17061.0,0.0,1089.0,363.0,0.0,0.0,0.0,33396.0,0.0,3993.0,2904.0,77682.0,363.0
4131.0,27.0,0.0,1269.0,0.0,81.0,27.0,0.0,0.0,0.0,2484.0,0.0,297.0,216.0,5778.0,27.0
14877.0,1711.0,290.0,9483.0,0.0,2639.0,406.0,116.0,0.0,29.0,2088.0,0.0,870.0,348.0,6467.0,58.0
229311.0,26373.0,4470.0,146169.0,0.0,40677.0,6258.0,1788.0,0.0,447.0,32184.0,0.0,13410.0,5364.0,99681.0,894.0
305748.0,35164.0,5960.0,194892.0,0.0,54236.0,8344.0,2384.0,0.0,596.0,42912.0,0.0,17880.0,7152.0,132908.0,1192.0
207252.0,23836.0,4040.0,132108.0,0.0,36764.0,5656.0,1616.0,0.0,404.0,29088.0,0.0,12120.0,4848.0,90092.0,808.0
2620.0,10.0,20.0,360.0,20.0,520.0,150.0,20.0,0.0,10.0,60.0,70.0,130.0,110.0,2430.0,40.0
74408.0,284.0,568.0,10224.0,568.0,14768.0,4260.0,568.0,0.0,284.0,1704.0,1988.0,3692.0,3124.0,69012.0,1136.0
77552.0,296.0,592.0,10656.0,592.0,15392.0,4440.0,592.0,0.0,296.0,1776.0,2072.0,3848.0,3256.0,71928.0,1184.0
22532.0,86.0,172.0,3096.0,172.0,4472.0,1290.0,172.0,0.0,86.0,516.0,602.0,1118.0,946.0,20898.0,344.0
2790.0,252.0,99.0,1278.0,0.0,738.0,198.0,0.0,0.0,9.0,756.0,0.0,378.0,81.0,3258.0,9.0
140740.0,12712.0,4994.0,64468.0,0.0,37228.0,9988.0,0.0,0.0,454.0,38136.0,0.0,19068.0,4086.0,164348.0,454.0
169260.0,15288.0,6006.0,77532.0,0.0,44772.0,12012.0,0.0,0.0,546.0,45864.0,0.0,22932.0,4914.0,197652.0,546.0
35030.0,3164.0,1243.0,16046.0,0.0,9266.0,2486.0,0.0,0.0,113.0,9492.0,0.0,4746.0,1017.0,40906.0,113.0
1696.0,0.0,16.0,840.0,0.0,104.0,128.0,0.0,0.0,8.0,616.0,0.0,192.0,88.0,2592.0,32.0
62328.0,0.0,588.0,30870.0,0.0,3822.0,4704.0,0.0,0.0,294.0,22638.0,0.0,7056.0,3234.0,95256.0,1176.0
89464.0,0.0,844.0,44310.0,0.0,5486.0,6752.0,0.0,0.0,422.0,32494.0,0.0,10128.0,4642.0,136728.0,1688.0
22896.0,0.0,216.0,11340.0,0.0,1404.0,1728.0,0.0,0.0,108.0,8316.0,0.0,2592.0,1188.0,34992.0,432.0
93732.0,0.0,321.0,43656.0,0.0,14766.0,3531.0,0.0,0.0,0.0,40767.0,0.0,2568.0,1926.0,166599.0,642.0
